,XCOORD,YCOORD,ZCOORD,DEMAND,READY_Time,DUE_Time,SERVICE_TIME
0,40.0,50.0,0.08340440094051481,0,0,1236,0
1,45.0,68.0,0.14406489868843161,10,0,1127,90
2,45.0,70.0,2.2874963468977327e-05,30,0,1125,90
3,42.0,66.0,0.060466514526367955,10,0,1129,90
4,42.0,68.0,0.02935117816342261,10,727,782,90
5,42.0,65.0,0.01846771895375956,10,0,1130,90
6,40.0,69.0,0.03725204227553418,20,621,702,90
7,40.0,66.0,0.06911214540860955,20,0,1130,90
8,38.0,68.0,0.07935349484613398,20,255,324,90
9,38.0,70.0,0.10776334680067139,10,534,605,90
10,35.0,66.0,0.08383890288065897,10,357,410,90
11,35.0,69.0,0.13704390007935188,10,448,505,90
12,25.0,85.0,0.04089044994630348,20,0,1107,90
13,22.0,75.0,0.17562348727818908,30,30,92,90
14,22.0,85.0,0.005477518639585233,10,0,1106,90
15,20.0,80.0,0.13409350203568043,40,384,429,90
16,20.0,85.0,0.08346096047342538,40,0,1105,90
17,18.0,75.0,0.11173796568915033,20,99,148,90
18,15.0,75.0,0.028077387719046755,20,0,1110,90
19,15.0,80.0,0.03962029781697576,10,0,1106,90
20,30.0,50.0,0.16014891373510734,10,0,1136,90
21,30.0,52.0,0.19365231514387948,20,0,1135,90
22,28.0,52.0,0.06268483563184857,20,812,883,90
23,28.0,55.0,0.13846452313386282,10,732,777,90
24,25.0,50.0,0.17527783045920764,10,0,1131,90
25,25.0,52.0,0.17892133270076946,40,169,224,90
26,25.0,55.0,0.017008842273955584,10,0,1130,90
27,23.0,52.0,0.007810956646576472,10,261,316,90
28,23.0,55.0,0.03396608391291378,20,0,1128,90
29,20.0,50.0,0.17562850068588262,10,0,1126,90
30,20.0,55.0,0.01966936676661002,10,449,504,90
31,10.0,35.0,0.08422152500101043,20,0,1112,90
32,10.0,40.0,0.1915779060301004,30,0,1114,90
33,8.0,40.0,0.1066330569946034,40,87,158,90
34,8.0,45.0,0.13837542279009465,20,0,1113,90
35,5.0,35.0,0.06310312620121258,10,283,344,90
36,5.0,45.0,0.13730018553631676,10,665,716,90
37,2.0,40.0,0.16692513437947457,20,0,1106,90
38,0.0,40.0,0.003657655468838361,30,479,522,90
39,0.0,45.0,0.15002886298899348,20,567,624,90
40,35.0,30.0,0.19777221778129894,10,264,321,90
41,35.0,32.0,0.14963313087596788,10,166,235,90
42,33.0,32.0,0.05608879841288103,20,68,149,90
43,33.0,35.0,0.1578558656902977,10,0,1129,90
44,32.0,30.0,0.020645201315528404,10,359,412,90
