,XCOORD,YCOORD,ZCOORD,DEMAND,READY_Time,DUE_Time,SERVICE_TIME
0,40.0,50.0,0.08340440094051481,0,0,1236,0
1,45.0,68.0,0.14406489868843161,10,830,1049,90
2,45.0,70.0,2.2874963468977327e-05,30,756,939,90
3,42.0,66.0,0.060466514526367955,10,16,336,90
4,42.0,68.0,0.02935117816342261,10,643,866,90
5,42.0,65.0,0.01846771895375956,10,15,226,90
6,40.0,69.0,0.03725204227553418,20,499,824,90
7,40.0,66.0,0.06911214540860955,20,87,308,90
8,38.0,68.0,0.07935349484613398,20,150,429,90
9,38.0,70.0,0.10776334680067139,10,429,710,90
10,35.0,66.0,0.08383890288065897,10,279,488,90
11,35.0,69.0,0.13704390007935188,10,363,590,90
12,25.0,85.0,0.04089044994630348,20,547,826,90
13,22.0,75.0,0.17562348727818908,30,30,280,90
14,22.0,85.0,0.005477518639585233,10,489,698,90
15,20.0,80.0,0.13409350203568043,40,318,495,90
16,20.0,85.0,0.08346096047342538,40,394,609,90
17,18.0,75.0,0.11173796568915033,20,33,226,90
18,15.0,75.0,0.028077387719046755,20,68,365,90
19,15.0,80.0,0.03962029781697576,10,176,447,90
20,30.0,50.0,0.16014891373510734,10,10,265,90
21,30.0,52.0,0.19365231514387948,20,836,1043,90
22,28.0,52.0,0.06268483563184857,20,704,991,90
23,28.0,55.0,0.13846452313386282,10,664,845,90
24,25.0,50.0,0.17527783045920764,10,15,333,90
25,25.0,52.0,0.17892133270076946,40,88,305,90
26,25.0,55.0,0.017008842273955584,10,502,821,90
27,23.0,52.0,0.007810956646576472,10,179,398,90
28,23.0,55.0,0.03396608391291378,20,476,663,90
29,20.0,50.0,0.17562850068588262,10,288,475,90
30,20.0,55.0,0.01966936676661002,10,368,585,90
31,10.0,35.0,0.08422152500101043,20,144,293,90
32,10.0,40.0,0.1915779060301004,30,31,309,90
33,8.0,40.0,0.1066330569946034,40,33,313,90
34,8.0,45.0,0.13837542279009465,20,655,912,90
35,5.0,35.0,0.06310312620121258,10,191,436,90
36,5.0,45.0,0.13730018553631676,10,588,793,90
37,2.0,40.0,0.16692513437947457,20,305,512,90
38,0.0,40.0,0.003657655468838361,30,414,587,90
39,0.0,45.0,0.15002886298899348,20,481,710,90
40,35.0,30.0,0.19777221778129894,10,180,405,90
41,35.0,32.0,0.14963313087596788,10,63,338,90
42,33.0,32.0,0.05608879841288103,20,19,345,90
43,33.0,35.0,0.1578558656902977,10,16,273,90
44,32.0,30.0,0.020645201315528404,10,278,493,90
45,30.0,30.0,0.08957870523518104,10,453,688,90
46,30.0,32.0,0.18171910061861912,30,355,602,90
47,30.0,35.0,0.058722829674735896,10,837,1127,90
48,28.0,30.0,0.05755506771726975,10,539,786,90
49,28.0,35.0,0.026005714423655533,10,867,1126,90
50,26.0,32.0,0.003873391574059415,10,719,976,90
51,25.0,30.0,0.1357671065879782,10,635,876,90
52,25.0,35.0,0.042325623200011805,10,825,1056,90
53,44.0,5.0,0.05310933187444525,20,193,440,90
54,42.0,10.0,0.09831463185606766,40,78,365,90
55,42.0,15.0,0.010672509023416077,10,35,287,90
